Date,Day,Month,CO,NO2,O3,PM25,Season,Season_Code,AQHI_PreviousDay,AQHI,AQHI_NextDay
2023-10-08,8,10,0.175,3.2083333333333335,23.458333333333332,1.4166666666666667,Fall,3,2.2102675315430065,1.5545986649537158,1.6755724632220494
2023-10-09,9,10,0.175,3.8333333333333335,24.541666666666668,1.6666666666666665,Fall,3,1.5545986649537158,1.6755724632220494,1.7082326050278596
2023-10-14,14,10,0.175,5.666666666666666,9.0,4.0,Fall,3,1.5854661730823956,1.1296165057279284,1.2307386251520347
2023-10-15,15,10,0.175,3.25,15.6875,3.0833333333333335,Fall,3,1.1296165057279284,1.2307386251520347,1.5255979416652314
2023-10-16,16,10,0.175,6.208333333333334,16.041666666666668,3.6666666666666665,Fall,3,1.2307386251520347,1.5255979416652314,1.6394957715756935
2023-10-17,17,10,0.175,9.25,10.708333333333334,6.541666666666667,Fall,3,1.5255979416652314,1.6394957715756935,1.9293545700795347
2023-10-18,18,10,0.175,8.041666666666666,18.1875,6.583333333333333,Fall,3,1.6394957715756935,1.9293545700795347,2.1348006888429927
2023-10-19,19,10,0.175,7.291666666666667,23.625,6.25,Fall,3,1.9293545700795347,2.1348006888429927,2.120253793593132
2023-10-20,20,10,0.175,5.291666666666666,26.916666666666668,5.875,Fall,3,2.1348006888429927,2.120253793593132,1.6227190392220778
2023-10-21,21,10,0.175,6.75,17.5,3.125,Fall,3,2.120253793593132,1.6227190392220778,0.9558467023719992
2023-10-22,22,10,0.175,2.125,13.833333333333334,1.2916666666666665,Fall,3,1.6227190392220778,0.9558467023719992,1.2693596732902086
2023-10-23,23,10,0.175,5.916666666666667,11.958333333333334,3.25,Fall,3,0.9558467023719992,1.2693596732902086,1.787021809814276
2023-10-24,24,10,0.175,11.25,11.375,5.333333333333333,Fall,3,1.2693596732902086,1.787021809814276,2.6600868553614094
2023-10-25,25,10,0.175,13.5,21.958333333333336,8.083333333333334,Fall,3,1.787021809814276,2.6600868553614094,2.8336735949819394
2023-10-26,26,10,0.175,11.541666666666668,26.291666666666664,10.5,Fall,3,2.6600868553614094,2.8336735949819394,2.5174537114973705
2023-10-27,27,10,0.175,10.958333333333334,22.666666666666668,8.875,Fall,3,2.8336735949819394,2.5174537114973705,1.5869872030874945
2023-10-28,28,10,0.175,3.0416666666666665,21.041666666666668,5.083333333333333,Fall,3,2.5174537114973705,1.5869872030874945,1.7541832224570963
2023-10-29,29,10,0.175,5.125,21.5,4.416666666666667,Fall,3,1.5869872030874945,1.7541832224570963,1.7809650797622616
2023-10-30,30,10,0.175,6.708333333333333,19.0,4.916666666666667,Fall,3,1.7541832224570963,1.7809650797622616,1.732259568357355
2023-10-31,31,10,0.175,6.25,20.083333333333332,3.5,Fall,3,1.7809650797622616,1.732259568357355,1.8758922827758542
2023-11-01,1,11,0.175,7.333333333333333,20.833333333333332,3.791666666666667,Fall,3,1.732259568357355,1.8758922827758542,2.11305132079873
2023-11-02,2,11,0.175,8.0,23.833333333333332,4.291666666666667,Fall,3,1.8758922827758542,2.11305132079873,2.3461423725750716
2023-11-03,3,11,0.175,7.875,27.625,5.25,Fall,3,2.11305132079873,2.3461423725750716,2.2292753554045883
2023-11-04,4,11,0.175,6.958333333333334,26.666666666666668,5.458333333333333,Fall,3,2.3461423725750716,2.2292753554045883,1.8642189124986281
